Brand,Series,Weight,Display Size,Pixel Density,Display Touchscreen,Graphic Processor,RAM Capacity,RAM Type,SSD Capacity,OS,Processor_Brand,Price (Rs),Processor_Series,Graphics Memory
Asus,vivobook,1.5,14.0,243.0,0,intel iris xe,16,ddr4,512,win 11,intel,65990.0,i5,0
MSI,GF63,1.86,15.6,141.0,0,nvidia geforce gtx 1650 max q,8,ddr4,256,win 10,intel,49990.0,i5,4
Lenovo,ideapad,2.0,15.6,100.0,0,amd radeon r5,4,ddr4,256,win 10,amd,24990.0,dual core,0
HP,pavilion,1.41,14.0,157.0,0,intel iris xe,16,ddr4,512,win 10,intel,66999.0,i5,0
Lenovo,ideapad,1.85,15.6,100.0,0,amd radeon r4,4,ddr4,256,dos,amd,17990.0,dual core,0
Dell,vostro,1.66,14.0,157.0,0,intel uhd,8,ddr4,256,win 10,intel,57217.0,i5,0
Lenovo,ideapad,1.7,15.6,141.0,0,intel uhd,8,ddr4,512,win 11,intel,35890.0,i3,0
Acer,nitro,2.7,15.6,141.0,0,amd radeon rx 560x,8,ddr4,512,win 10,amd,79999.0,ryzen 5,4
Acer,nitro,2.3,15.6,141.0,0,amd radeon rx 560x,8,ddr4,512,win 10,amd,47890.0,quad core,4
Dell,vostro,1.79,14.0,112.0,0,amd radeon 520,8,ddr4,512,win 10,intel,50575.0,i5,2
HP,14,1.47,14.0,112.0,0,intel uhd,8,ddr4,512,win 10,intel,53900.0,i5,0
HP,15s,1.7,15.6,141.0,0,amd radeon vega 8,8,ddr4,512,win 10,amd,45499.0,quad core,0
HP,14q,1.47,14.0,112.0,0,intel uhd 620,8,ddr4,512,win 10,intel,46990.0,i5,0
Asus,vivobook,1.8,15.6,141.0,0,amd radeon,8,ddr4,256,win 11,amd,46990.0,ryzen 5,0
Acer,nitro,2.3,15.6,141.0,0,nvidia geforce gtx 1050,8,ddr4,512,win 10,intel,55490.0,i5,3
Dell,vostro,1.58,14.0,157.0,0,intel uhd,8,ddr4,256,win 10,intel,55448.0,i3,0
HP,15,1.86,15.6,141.0,0,intel uhd 620,8,ddr4,512,dos,intel,40990.0,i5,0
HP,15s,1.69,15.6,141.0,0,intel uhd,4,ddr4,512,win 10,intel,41500.0,i3,0
Asus,vivobook,1.8,14.0,157.0,0,intel uhd,8,ddr4,512,win 10,intel,33990.0,i3,0
Asus,tuf,2.2,15.6,141.0,0,nvidia geforce gtx 1650,8,ddr4,512,win 10,intel,138256.0,i5,4
HP,15,1.77,15.6,141.0,0,intel hd 620,4,ddr4,256,win 10,intel,35276.0,i3,0
Asus,tuf,3.18,15.6,141.0,0,nvidia geforce gtx 1650,8,ddr4,512,win 11,intel,113752.0,i5,4
Lenovo,ideapad,2.1,15.6,141.0,0,amd radeon r4,4,ddr4,256,win 10,amd,21990.0,dual core,0
